STT,Tên Tour,Dịch vụ,Giá,Ghi chú
1,Tour Hà Giang truyền thống 2 ngày 1 đêm,Tour Xe Máy Tự Lái (ghép)," 2,900,000 ",
1,Tour Hà Giang truyền thống 2 ngày 1 đêm,Tour Xe Máy Xế Chở (ghép)," 3,500,000 ",
1,Tour Hà Giang truyền thống 2 ngày 1 đêm,Tour Thiết Kế Riêng," 4,500,000 ",
1,Tour Hà Giang truyền thống 2 ngày 1 đêm,Tour Ô tô (giá tour ghép)," 2,800,000 ",
2,Tour Hà Giang Truyền thống 3N2Đ,Tour Xe Máy Tự Lái (ghép)," 4,500,000 ",
2,Tour Hà Giang Truyền thống 3N2Đ,Tour Xe Máy Xế Chở (ghép)," 5,300,000 ",
2,Tour Hà Giang Truyền thống 3N2Đ,Tour Thiết Kế Riêng," 6,900,000 ",
2,Tour Hà Giang Truyền thống 3N2Đ,Tour 1-1," 7,400,000 ",
2,Tour Hà Giang Truyền thống 3N2Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
3,Tour Hà Giang Chuyên Sâu 3N2Đ,Tour Xe Máy Tự Lái (ghép)," 4,800,000 ",
3,Tour Hà Giang Chuyên Sâu 3N2Đ,Tour Xe Máy Xế Chở (ghép)," 5,900,000 ",
3,Tour Hà Giang Chuyên Sâu 3N2Đ,Tour Thiết Kế Riêng," 7,100,000 ",
3,Tour Hà Giang Chuyên Sâu 3N2Đ,Tour 1-1," 7,600,000 ",
3,Tour Hà Giang Chuyên Sâu 3N2Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
4,Tour Hà Giang Chuyên Sâu 4N3Đ,Tour Xe Máy Tự Lái (ghép)," 5,700,000 ",
4,Tour Hà Giang Chuyên Sâu 4N3Đ,Tour Xe Máy Xế Chở (ghép)," 7,000,000 ",
4,Tour Hà Giang Chuyên Sâu 4N3Đ,Tour Thiết Kế Riêng," 8,100,000 ",
4,Tour Hà Giang Chuyên Sâu 4N3Đ,Tour 1-1," 8,600,000 ",
4,Tour Hà Giang Chuyên Sâu 4N3Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
5,Tour Hà Giang Làng Bản & Văn Hoá 4N5Đ,Tour Thiết Kế Riêng," 9,500,000 ",
5,Tour Hà Giang Làng Bản & Văn Hoá 4N5Đ,Tour 1-1," 8,700,000 ",
5,Tour Hà Giang Làng Bản & Văn Hoá 4N5Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
6,Tour Trekking Hà Giang {Sông Nho Quế & Vách Đá Trắng} 2N1Đ đặt biệt,Tour Thiết Kế Riêng," 5,500,000 ",
6,Tour Trekking Hà Giang {Sông Nho Quế & Vách Đá Trắng} 2N1Đ đặt biệt,Tour Ô tô (giá tour ghép), Liên hệ ,
7,Tour Hà Giang - Cao Bằng 4N3Đ,Tour Xe Máy Tự Lái (ghép)," 6,500,000 ",
7,Tour Hà Giang - Cao Bằng 4N3Đ,Tour Xe Máy Xế Chở (ghép)," 7,800,000 ",
7,Tour Hà Giang - Cao Bằng 4N3Đ,Tour Thiết Kế Riêng, Liên hệ ,
7,Tour Hà Giang - Cao Bằng 4N3Đ,Tour 1-1," 8,900,000 ",
7,Tour Hà Giang - Cao Bằng 4N3Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
8,Tour Hà Giang - Cao Bằng 5N4Đ,Tour Xe Máy Tự Lái (ghép)," 7,100,000 ",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Tour Xe Máy Xế Chở (ghép)," 8,800,000 ",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Tour Thiết Kế Riêng, Liên hệ ,
8,Tour Hà Giang - Cao Bằng 5N4Đ,Tour 1-1," 9,800,000 ",
8,Tour Hà Giang - Cao Bằng 5N4Đ,Tour Ô tô (giá tour ghép), Liên hệ ,
9,Tour Sapa - Hà Giang - Cao Bằng 7N6Đ,Tour Xe Máy Xế Chở (ghép)," 15,000,000 ",
9,Tour Sapa - Hà Giang - Cao Bằng 7N6Đ,Tour 1-1," 17,500,000 ",
10,Tour Sapa - Hà Giang 5N4Đ,Tour Xe Máy Tự Lái (ghép)," 6,700,000 ",
10,Tour Sapa - Hà Giang 5N4Đ,Tour Xe Máy Xế Chở (ghép)," 8,000,000 ",
10,Tour Sapa - Hà Giang 5N4Đ,Tour 1-1," 9,500,000 ",
11,"Tour Half Soul, Half Road Hà Giang 5N4Đ",Tour 1-1," 15,000,000 ",
12,Tour Mộc Châu - Tà Xùa - Điện Biên - Sapa - Hà Giang 7N6Đ,Tour 1-1," 30,000,000 ",
12,Tour Mộc Châu - Tà Xùa - Điện Biên - Sapa - Hà Giang 7N6Đ,Tour Ô tô (giá tour ghép)," 8,500,000 ",Khách > 5
13,Tour Hà Giang - Cao Bằng - Ba Bể 7N6Đ,Tour Thiết Kế Riêng," 11,500,000 ",
13,Tour Hà Giang - Cao Bằng - Ba Bể 7N6Đ,Tour 1-1," 16,500,000 ",
14,Tour Đông Tây Bắc 10N9Đ,Tour Thiết Kế Riêng," 19,000,000 ",
14,Tour Đông Tây Bắc 10N9Đ,Tour 1-1," 27,000,000 ",
15,Tour Trekking Tp Hà Giang (Xà Phìn) 2N1Đ,Tour Thiết Kế Riêng," 3,500,000 ",
15,Tour Trekking Tp Hà Giang (Xà Phìn) 2N1Đ,Tour 1-1," 5,000,000 ",
16,Tour Camping Sông Nho Quế 2N1Đ,Tour Thiết Kế Riêng," 2,500,000 ",
16,Tour Camping Sông Nho Quế 2N1Đ,Tour 1-1," 3,000,000 ",
17,Tour Trekking Mèo Vạc 2N1Đ,Tour Thiết Kế Riêng," 3,500,000 ",
17,Tour Trekking Mèo Vạc 2N1Đ,Tour 1-1," 5,000,000 ",
18,Trekking Hoàng Su Phì 4N3Đ,Tour Thiết Kế Riêng," 8,500,000 ",
18,Trekking Hoàng Su Phì 4N3Đ,Tour 1-1," 13,500,000 ",
19,Tour Hồ Ba Bể 3N2Đ,Tour Thiết Kế Riêng," 6,500,000 ",
19,Tour Hồ Ba Bể 3N2Đ,Tour 1-1," 7,500,000 ",
20,Tour Cao Bằng 3N2Đ,Tour Xe Máy Xế Chở (ghép)," 5,500,000 ",
20,Tour Cao Bằng 3N2Đ,Tour Thiết Kế Riêng," 6,500,000 ",
20,Tour Cao Bằng 3N2Đ,Tour 1-1," 7,800,000 ",
21,Tour Cao Bằng 4N3Đ,Tour Xe Máy Xế Chở (ghép)," 6,900,000 ",
21,Tour Cao Bằng 4N3Đ,Tour Thiết Kế Riêng," 7,800,000 ",
21,Tour Cao Bằng 4N3Đ,Tour 1-1," 8,500,000 ",
22,Tour Off Road Hà Giang (PG1) 5N4Đ,Tour Thiết Kế Riêng," 20,000,000 ",
22,Tour Off Road Hà Giang (PG1) 5N4Đ,Tour 1-1," 25,000,000 ",
